ride_id,rideable_type,weekdays,duration,start_station_name,end_station_name,member_casual
9CEEFDBCAEEF40C4,classic_bike,Friday,4.619116664,Pershing Square South,W 41 St & 8 Ave,member
A3BA6C2D928DD11B,classic_bike,Thursday,10.81238333,E 20 St & 2 Ave,W 16 St & The High Line,member
A2677F39D6254CE4,classic_bike,Wednesday,6.784266671,W 17 St & 8 Ave,8 Ave & W 31 St,member
0DD16FD25301ACCE,classic_bike,Saturday,18.4763,W 46 St & 11 Ave,5 Ave & E 29 St,casual
CE69D1A1652FC0BB,classic_bike,Sunday,15.16463333,6 St & 7 Ave,Monroe St & Bedford Ave,member
CF77EDEAC0A10F21,classic_bike,Wednesday,17.46775,1 Ave & E 16 St,E 48 St & 5 Ave,member
C92D3D4DCDF63EDB,classic_bike,Tuesday,33.1082,12 Ave & W 125 St,12 Ave & W 125 St,casual
0136F97076C48A30,classic_bike,Thursday,33.53586667,W 49 St & 8 Ave,Water - Whitehall Plaza,member
DB920CB112911B38,classic_bike,Thursday,3.009549999,E 84 St & Park Ave,E 84 St & 1 Ave,member
2F046F04DCE19037,classic_bike,Wednesday,2.110216669,E 7 St & Avenue A,E 2 St & Avenue A,member
12F940FB77F20531,electric_bike,Sunday,16.11846667,Dean St & Franklin Ave,Metropolitan Ave & Bedford Ave,member
988AAA474BEA0485,classic_bike,Sunday,18.04461667,Lexington Ave & E 111 St,2 Ave & E 99 St,member
45497EFD478652B3,classic_bike,Friday,33.90011667,8 Ave & W 52 St,W 26 St & 8 Ave,casual
BB12DADF807413EA,classic_bike,Friday,8.762983334,6 Ave & W 33 St,W 22 St & 8 Ave,member
D6156C069B63B4B1,classic_bike,Wednesday,19.04455,Cherry St,W 21 St & 6 Ave,member
097DD949FBB7B2D7,classic_bike,Friday,6.869033337,E 2 St & 2 Ave,MacDougal St & Prince St,member
4D82EB2DE0E4EACF,classic_bike,Monday,30.75108333,E 58 St & 3 Ave,E 116 St & 2 Ave,member
D2E3FFA711495ED3,classic_bike,Tuesday,34.77926667,6 Ave & 12 St,6 Ave & 12 St,member
290C4BAA6CED7376,classic_bike,Saturday,27.75105,E 11 St & Avenue B,5 Ave & E 78 St,casual
816CB7E811785059,classic_bike,Monday,16.31778334,Henry St & Grand St,Cherry St,member
E41F5941172D5BDC,classic_bike,Sunday,18.50486667,Sterling Pl & Bedford Ave,Kent Ave & S 11 St,member
BA4F57AED7957190,classic_bike,Sunday,21.46431667,Suydam St & Knickerbocker Ave,Willoughby Ave & Hall St,member
0A9595EF9AB05D56,classic_bike,Sunday,26.13918333,E 10 St & Avenue A,Wall St & South St,member
84B3D4D7D5A4DB5A,classic_bike,Saturday,22.08385,W 42 St & 6 Ave,Broadway & E 14 St,casual
E7C27D41796059FA,classic_bike,Thursday,3.695299999,E 51 St & 1 Ave,E 58 St & 3 Ave,member
81904E2BFE8F35BD,classic_bike,Saturday,4.512883333,Kent Ave & N 7 St,S 4 St & Wythe Ave,member
0370EA83BC44B46C,electric_bike,Monday,11.69338333,Amsterdam Ave & W 119 St,E 123 St & Lexington Ave,member
A51452C75A5B665A,classic_bike,Tuesday,14.3455,E 58 St & Madison Ave,E 20 St & 2 Ave,casual
FADA03A8FF8985DC,classic_bike,Saturday,17.70948333,Broadway & W 41 St,LaGuardia Pl & W 3 St,casual
A698F5E7181A7BC8,classic_bike,Thursday,12.09773333,E 20 St & FDR Drive,University Pl & E 8 St,member
84763BFA575727A3,classic_bike,Saturday,7.055400002,Pier 40 - Hudson River Park,Bank St & Hudson St,casual
3A5BB99E9A7A7DF8,electric_bike,Friday,16.72735,11 Ave & W 59 St,Broadway & E 22 St,casual
C926DAE2CE59BCA2,classic_bike,Friday,11.08601667,Scholes St & Manhattan Ave,S 3 St & Bedford Ave,member
