ride_id,rideable_type,weekdays,duration,start_station_name,end_station_name,member_casual
63B35E047E10702F,electric_bike,Wednesday,12.49251666,E 33 St & 1 Ave,Washington Square E,casual
A475C0D2CB18CA40,classic_bike,Wednesday,5.129783332,Clinton St & Grand St,Cherry St,member
8575AB05B9CB0F29,electric_bike,Wednesday,5.501866666,Leonard St & Maujer St,Roebling St & N 4 St,member
4D63CC01ECFB153D,electric_bike,Tuesday,13.31141667,E 26 St & 3 Ave,E 48 St & 5 Ave,member
EFA1CE7110D749B2,electric_bike,Sunday,6.205900002,34 Ave & 38 St,48 Ave & 37 St,member
9665E8DC87EBEBF4,classic_bike,Monday,4.826250001,Carmine St & 6 Ave,W 15 St & 7 Ave,member
804F80F6CA37773D,electric_bike,Sunday,14.7824,E 26 St & 3 Ave,W 50 St & 10 Ave,member
229FAAD8B66C8D10,classic_bike,Tuesday,7.121566669,W 37 St & 5 Ave,E 43 St & Madison Ave,member
2B7A2E3590A0ABD9,electric_bike,Monday,8.915316669,W 20 St & 7 Ave,Lexington Ave & E 36 St,member
8DA99479F403AAA2,electric_bike,Tuesday,7.511716668,46 St & Queens Blvd,34 Ave & 38 St,member
30987870C0B4174B,electric_bike,Monday,8.27966667,Macon St & Patchen Ave,Melrose St & Broadway,member
F5643105C6B96F2F,electric_bike,Friday,9.489883335,Greenwich Ave & Charles St,Ave D & E 8 St,member
3F07B38087005FD9,electric_bike,Thursday,7.331833335,Spring St & Hudson St,W 27 St & 7 Ave,member
DC285681489616CF,classic_bike,Wednesday,19.40141667,34 Ave & 74 St,Queens Plaza North & Crescent St,member
53DAD2733C644750,classic_bike,Thursday,12.2697,W 45 St & 8 Ave,Central Park West & W 68 St,member
DCCC9A6BBC6DEFB6,electric_bike,Friday,5.591133336,Clinton St & Union St,Montague St & Clinton St,member
D5CDA8A8902381DF,electric_bike,Tuesday,4.456883331,1 Ave & E 39 St,1 Ave & E 30 St,member
664D4C8984F12989,electric_bike,Monday,16.8835,N 5 St & Northside Piers,Stockholm St & Wilson Ave,member
96B2B6F454BBAF6A,electric_bike,Tuesday,7.404800002,Melrose St & Broadway,Macon St & Patchen Ave,member
FF34CA4781F3D0D7,electric_bike,Tuesday,5.238583334,Berry St & N 8 St,Meserole Ave & Manhattan Ave,member
259B24B570657476,classic_bike,Wednesday,8.224216668,Grand St & Elizabeth St,Clinton St & Cherry St,member
6B3613DA8895F7F4,electric_bike,Thursday,20.84783333,30 St & 4 Ave,Hancock St & Bedford Ave,member
9CC2681DE3169C14,electric_bike,Monday,23.31455,Franklin Ave & St Marks Ave,Broadway & Berry St,member
46ABD5E8996C2AFA,electric_bike,Thursday,6.351316667,Washington St & Gansevoort St,Bank St & Washington St,casual
BF9BEBE3A213A7B4,electric_bike,Wednesday,3.996666666,W 54 St & 6 Ave,E 40 St & 5 Ave,member
B503CB81022B3AAC,electric_bike,Friday,24.09535,Caton Ave & Argyle Rd,Hancock St & Stuyvesant Ave,member
9EECEB0085DE0DE8,classic_bike,Wednesday,8.1085,Broadway & Morris St,South St & Pike St,member
EC7A2548E2988587,electric_bike,Friday,9.778833334,Rivington St & Ridge St,Barclay St & Church St,member
D0F68B9A02C38848,electric_bike,Thursday,7.711833334,W Broadway & Watts St,E 10 St & 2 Ave,member
1467E0504AA64E92,electric_bike,Wednesday,3.341149998,E 88 St & Park Ave,E 94 St & Madison Ave,member
EF9C98CDD847C7B7,classic_bike,Monday,75.14851667,W 144 St & Adam Clayton Powell Blvd,Broadway & W 36 St,member
C7A47A17C35CA2F6,classic_bike,Wednesday,11.67346667,W 106 St & Amsterdam Ave,5 Ave & W 126 St,member
42026B37DFA73BF9,classic_bike,Thursday,8.033233333,25 Ave & 41 St,34 Ave & 38 St,member
6D868FA98082415A,electric_bike,Thursday,7.241099997,Bridge St & Water St,Clinton St & Tillary St,member
BC5D10828D2894D3,classic_bike,Thursday,20.692,Prospect Park SW & 16 St,59 St & 4 Ave,member
70D369D1C7988947,electric_bike,Friday,7.666249998,Park Ave & E 162 St,Lenox Ave & W 144 St,member
B1BDEAEAB92F2C45,electric_bike,Thursday,3.53981667,E 17 St & Broadway,Madison Ave & E 26 St,member
72FD814B8740242B,classic_bike,Saturday,4.995333334,Lefferts Pl & Franklin Ave,Sterling Pl & Franklin Ave,member
4F9BDD4801F76BA2,electric_bike,Wednesday,10.71581667,W 25 St & 9 Ave,Lafayette St & E 8 St,member
DE0CEDFC0235F828,electric_bike,Friday,9.623649999,Prospect Pl & Vanderbilt Ave,Kingston Ave & Carroll St,member
7ADD096EACD817D1,electric_bike,Sunday,3.900216667,E 26 St & 3 Ave,5 Ave & E 30 St,casual
4C46D5759784CCE9,classic_bike,Thursday,2.746966668,Lafayette Ave & St James Pl,DeKalb Ave & Vanderbilt Ave,member
